ManufacturerName,idManufacturer,WinItemName,WiseItemNumber,ProductNumber,ItemNumber,ItemStatus,MainframeDescription,CatalogNnumber,UPC,OrderNumber,SimilarityScore,ComodityNumber,IM09T_ID,ITEM_MASTER_NUMBER,VENDOR_ITEM_NUMBER,VENDOR_NUMBER
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,526732,1337ZMGL9004,GMNL0034,V002586
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,452114,1337ZMGL9005,352-005,V010182
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,452113,1337ZMGL9004,352-004,V010182
ANVIL GALV MALLEABLE FITTINGS,8396,1 in. Female Galvanized Malleable Iron 45-Degree Elbow,31102380,111088945,1089074,A,"1""    GALV MI 45 ELL",311023808,6.9E+11,311023808,71.09,10,635109,31102380,311023808,V010395
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,432382,1337ZMGL9005,36306,V012349
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,432381,1337ZMGL9004,36305,V012349
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,736459,1337MGL9005,MGL9005,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,141559,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,188335,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,220211,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,237258,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,267816,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,290120,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,325361,1337ZMGLST9005,82647067516,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,141546,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,188349,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,220224,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,237252,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,267810,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,290111,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,325348,1337ZMGL9005,82647066762,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,736457,1337MGL9003,MGL9003,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,141543,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,188347,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,220222,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,237249,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,257884,1337MGL9003,82647039612,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,275138,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,290108,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,325345,1337ZMGL9003,82647066748,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,522568,1337ZMGL9003,3236,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,523353,1337ZMGL9004,ZMGL9004,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,736458,1337MGL9004,MGL9004,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,141544,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,188348,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,220223,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,237250,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,267809,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,290109,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,325346,1337ZMGL9004,82647066755,V017046
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,387543,1337ZMGL9003,MGL9003,V022356
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,387547,1337ZMGL9004,MGL9004,V022356
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,524448,1337ZMGL9005,H85004,V025486
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,523509,1337ZMGL9003,IMP1101G12,V025486
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,525508,1337ZMGL9004,IMP1101G34,V025486
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,706453,1337ZMGL9003,66242432530,V028079
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,706454,1337ZMGL9004,66246732560,V028079
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,707537,1337ZMGL9003,G2350050,V039672
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,707538,1337ZMGL9004,G2350100,V039672
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,670178,1337ZMGL9003,311000806,V104552
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,670179,1337ZMGL9004,311001002,V104552
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,437520,1337ZMGL9005,36306,V128736
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,436596,1337ZMGL9004,36305,V128736
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,669430,1337ZMGL9004,1337ZMGL9004,V998402
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,785290,1337ZMGL9003,12GI90,V998602
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,785505,1337ZMGL9004,1337ZMGL9004,V998602
